"the_geom","Borough","LP_NUMBER","MOST_CURRENT","LM_NAME","EXTENSION","SITE_STATUS","LAST_ACTION","ACTION_NOTES","PUBLIC_HEARING","OTHER_HEARINGS","DESIG_DATE","CALEN_DATE","Shape_Leng","Shape_Area"
"POLYGON ((993568.6886997521 171061.41416066885, 993611.8211594224 171067.50765241683, 993623.7279597521 170979.9402422607, 993628.5868739188 170974.3267364204, 993636.923471421 170974.2447155863, 993780.520625174 171062.7845647484, 993838.9768730849 171100.58960725367, 993876.9147893339 171125.27295683324, 994039.968925178 171224.37774550915, 994170.7777186781 171304.14300592244, 994432.8018009216 171466.33592300117, 994322.525774762 172218.30718809366, 994106.4878210127 172085.1151972562, 993626.0015772581 171787.49112059176, 993529.8075439185 171730.8376905918, 993519.2891922593 171723.3442672491, 993517.6258097589 171717.3075339198, 993519.0956230909 171711.81049767137, 993535.3810235858 171603.6781679988, 993507.1373136789 171599.51905559003, 993492.5120148361 171597.58631667495, 993393.2110323459 171582.01154467463, 993473.3299665898 171018.08977225423, 993494.1685075909 171031.15667524934, 993533.6612107605 171055.92073333263, 993568.6886997521 171061.41416066885))","BK","LP-02693","Yes","Ditmas Park West Historic District","No","DESIGNATED","DESIGNATED",,"10/21/2025",,"11/25/2025","06/17/2025","3728.3824419608377","739207.7713770915"
"POLYGON ((994065.9117866755 174009.07066692412, 993992.5280751735 174000.06871642172, 993935.3956435025 173991.6861872524, 993832.7498514205 173976.5910730958, 993474.5189405978 173923.8910472542, 993465.9264380932 173918.65811808407, 993464.0826097578 173912.01114974916, 993479.519258678 173805.05237416923, 993451.4714145064 173801.46215826273, 993435.5895565003 173799.5687893331, 993335.986081168 173785.0635690093, 993510.2613231689 172573.70739592612, 993513.8712240905 172557.37573567033, 993614.0790289193 172615.54064558446, 993619.1462760121 172622.25651142, 993619.9779672623 172627.76831142604, 993558.7323548347 173057.13851566613, 993601.3638312519 173063.3655373454, 993799.9323317558 173092.2824742496, 993843.6176118404 173096.86678266525, 993877.8042232543 172861.9226987511, 993893.5909370929 172864.30523991585, 993992.186212346 172879.44497342408, 993978.6471974254 172972.86276559532, 994077.8031670898 172988.2095196694, 994092.8641605973 172992.43785767257, 994080.0042781681 173081.04890091717, 994123.2633780092 173088.87500075996, 994198.1890811771 173099.13187000155, 994067.0814037621 173999.88400550187, 994065.9117866755 174009.07066692412))","BK","LP-02692","Yes","Beverley Square West Historic District","No","DESIGNATED","DESIGNATED",,"10/21/2025",,"11/25/2025","06/17/2025","4651.397850034275","744284.7103505391"
"POLYGON ((997596.8440292627 191579.80619467795, 997618.0234488398 191583.02502025664, 997637.425969094 191585.9731770903, 997657.925928086 191589.08898450434, 997677.0820577592 191592.0000679195, 997697.5620036721 191595.11226642132, 997700.1436914206 191578.05816666782, 997701.1092406809 191571.68350750208, 997714.166301176 191573.66775549948, 997720.7738995105 191574.6720185876, 997731.2669887543 191576.26650358737, 997740.3837684244 191577.65199950337, 997749.8076340854 191579.08441133797, 997760.3479673415 191580.6861141771, 997767.4056960046 191581.75861859322, 997778.9650560915 191583.51550483704, 997785.1067760885 191584.44857384264, 997797.4794547558 191586.3288194239, 997802.5194709301 191587.09489400685, 997816.5138655007 191589.22153016925, 997820.3009314239 191589.7973164171, 997835.190337345 191592.05977909267, 997838.9570620954 191592.63228450716, 997854.4081466794 191594.9807050079, 997857.2060413361 191595.40557292104, 997871.9589645863 191597.64736634493, 997874.812633425 191598.0814205855, 997890.2561720908 191600.42820067704, 997892.0547249168 191600.7014940828, 997908.7508857548 191603.23856250942, 997911.770236671 191603.6978791654, 997927.8102308363 191606.13521026075, 997930.2915250957 191606.51250608265, 997945.5513370931 191608.83139908314, 997948.1861743331 191609.2316607535, 997964.7392908335 191611.74740375578, 997967.515203923 191612.16931892931, 997982.7353178412 191614.4823064208, 997986.1047336757 191614.9941164255, 998002.3487956673 191617.46294350922, 998003.9842910916 191617.71130259335, 998021.1699522585 191620.3231739998, 998022.9527570903 191620.59384275973, 998039.4858605117 191623.10663300753, 998039.9829067588 191623.1820921749, 998057.2807724178 191625.8106958419, 998058.4625285864 191625.99048550427, 998075.1685319245 191628.5291943401, 998077.736112088 191628.9192854166, 998092.2334584296 191631.12236501276, 998096.6684889197 191631.79657626152, 998109.0270600021 191633.67452526093, 998114.6303952634 191634.5259015113, 998133.9315377623 191637.45929458737, 998152.7589279264 191640.32050934434, 998160.2766294181 191641.46322359145, 998171.7024595886 191643.1994405836, 998178.075806424 191644.16794258356, 998190.0062287599 191645.9812591672, 998195.0846306682 191646.75291116536, 998208.2798142582 191648.75848458707, 998212.8506712615 191649.45270891488, 998227.3207866699 191651.65152342618, 998232.3896741718 191652.42186309397, 998248.2239600867 191654.82835434377, 998252.2662748396 191655.44285441935, 998266.6481358409 191657.62821750343, 998269.7281821668 191658.09606434405, 998286.433857426 191660.63510125875, 998287.6677788347 191660.82243683934, 998305.8465482593 191663.5852265954, 998306.4961532503 191663.68397967517, 998323.93476668 191666.3339087516, 998309.0509381741 191764.64047066867, 998301.3583682626 191815.4494241774, 998321.412462011 191818.4353105873, 998319.0748682618 191833.4651361704, 998303.5729307532 191936.73494274914, 998299.7760223448 191962.02852733433, 998295.2412545085 191992.23909683526, 998292.256680429 192012.12193109095, 998288.597567007 192036.49885083735, 998278.17304717 192100.746097669, 998270.3548213392 192152.69940583408, 998266.2258925885 192180.137015, 998262.8748494238 192202.40501509607, 998242.2413605005 192199.26132059097, 998222.710559681 192196.28560476005, 998203.6600728333 192193.38305149972, 998183.2135914266 192190.26757217944, 998164.2454535067 192187.37748609483, 998145.5542179197 192184.5297227502, 998143.4977915883 192184.21607509255, 998127.7596340925 192181.81844209135, 998124.614627257 192181.33944042027, 998109.5198411793 192179.03957626224, 998104.1714266688 192178.22428917885, 998091.7246011794 192176.3282955885, 998084.7639851719 192175.26760217547, 998073.3033781797 192173.52154266834, 998064.7328572571 192172.21577100456, 998056.7135163397 192170.9936605841, 998046.6662923396 192169.46315184236, 998038.9189325124 192168.28270800412, 998027.7788629234 192166.5852048397, 998020.9832728356 192165.5497738421, 998010.0564574301 192163.88475091755, 998003.510210678 192162.88737758994, 997990.9593827575 192160.97530792654, 997985.1710085124 192160.09341992438, 997972.275036931 192158.1285288334, 997967.3764246702 192157.38213925064, 997953.1343271732 192155.211868003, 997948.8794144243 192154.56390342116, 997934.996896252 192152.44875016809, 997931.9749206752 192151.98812116683, 997916.273508504 192149.59606559575, 997913.7423455864 192149.2102395892, 997897.2561580837 192146.69843359292, 997896.7112116665 192146.61542850733, 997877.0130883455 192143.61412216723, 997876.0002950877 192143.45992299914, 997860.4484889209 192141.09050516784, 997857.2929834276 192140.60953500867, 997841.774969846 192138.24503841996, 997837.0863309205 192137.5308009982, 997823.0263196677 192135.38841684163, 997818.6496880054 192134.7217515111, 997801.8157321811 192132.1571240872, 997798.1936921775 192131.60495984554, 997783.1438535005 192129.3119854182, 997778.5421566665 192128.6108713448, 997763.2236177623 192126.27688650787, 997758.3053205013 192125.52754417062, 997743.3214265853 192123.24474033713, 997737.9067392498 192122.41961075366, 997723.4766499996 192120.22112433612, 997718.3152430058 192119.43470859528, 997699.1276173443 192116.5111580044, 997679.1867123395 192113.4727782607, 997674.7648051679 192112.79889509082, 997659.8012524247 192110.51904401183, 997639.5549018383 192107.43440450728, 997625.1431852579 192105.23854275048, 997620.2117646784 192104.487560004, 997635.5070096701 192002.84668716788, 997645.3317931741 191938.54202575982, 997648.2510786802 191919.09554234147, 997650.9154434204 191901.34459358454, 997653.6559235007 191883.08905267715, 997656.338004753 191865.22097817063, 997658.9255980104 191847.9838079214, 997660.2408840954 191839.22234250605, 997661.5299235135 191830.6344331652, 997664.1260469258 191813.3385360092, 997644.5552199185 191810.3762715906, 997624.577569589 191807.35265558958, 997604.9991966784 191804.3890788406, 997585.0927404165 191801.3762895912, 997563.3900279254 191798.0911911726, 997550.4776521772 191796.13647067547, 997583.6616409272 191577.80258975923, 997596.8440292627 191579.80619467795))","BK","LP-02683","Yes","Willoughby-Hart Historic District",,"DESIGNATED","DESIGNATED",,"6/11/2024",,"06/25/2024","05/21/2024","2608.686678234513","372947.68809495633"
"POLYGON ((1005679.8714983463 190850.85883367062, 1005742.8864641786 190803.7716575116, 1005775.006806761 190780.2723606676, 1005762.5045351684 190763.49942833185, 1005774.5461777598 190754.6930155009, 1005857.0253435075 190694.3748946786, 1005867.7950070053 190708.85354025662, 1005868.078471005 190709.23444500566, 1005880.2054152638 190725.53789009154, 1005880.9068574309 190726.48080158234, 1005883.5813927501 190730.07659491897, 1005891.2063775063 190740.3272305876, 1005892.041021511 190741.4486194253, 1005902.8024829179 190755.9167663455, 1005913.9907807559 190770.95873101056, 1005925.9625415951 190787.05318701267, 1005937.0963775963 190802.02198909223, 1005949.0484534204 190818.09019842744, 1005959.4372121692 190832.0567059219, 1005971.9083158374 190848.82274851203, 1005982.1143321693 190862.54352158308, 1005900.0259136707 190922.5758818388, 1005863.9341223389 190948.04039783776, 1006001.7232168466 191132.05709017813, 1006015.399042502 191150.88087141514, 1006016.1503533423 191152.91498808563, 1006016.4685941786 191155.42482559383, 1006016.1766000092 191157.93466308713, 1006014.929883346 191160.9333447516, 1006013.0926166773 191163.16103059053, 1005948.904752925 191211.16224692762, 1005929.8329406679 191185.77679900825, 1005917.3323095143 191169.0274886787, 1005904.8323345035 191152.27883450687, 1005892.5666110069 191135.84415608644, 1005880.1863864213 191119.25626274943, 1005869.5627200007 191105.0223673433, 1005857.5227178335 191088.88952559233, 1005846.45154576 191074.05556575954, 1005836.5719723403 191060.8183875084, 1005834.6795876771 191058.28263142705, 1005822.9571701735 191042.57695417106, 1005811.892231673 191027.7505402565, 1005800.3699450046 191012.3122509271, 1005787.949694261 190995.67088000476, 1005775.8601515144 190979.47209350765, 1005764.6843208373 190964.4973859191, 1005752.5544238389 190948.24544991553, 1005739.6997907609 190931.02173109353, 1005728.8740250021 190916.5158545822, 1005716.1657170951 190899.48865766823, 1005703.8494687527 190882.98639409244, 1005693.02337493 190868.48084567487, 1005679.8714983463 190850.85883367062))","BK","LP-02665","Yes","Linden Street Historic District",,"DESIGNATED","DESIGNATED",,"2/28/2023","0","05/09/2023","11/01/2022","1408.270307802106","70192.56792375029"
"POLYGON ((995837.1792415082 178175.65682192147, 995846.6615060121 178059.0081050843, 995895.6794525832 178063.117020756, 995895.8818800002 178060.70232741535, 995969.9827816784 178066.91425725818, 995971.8085654229 178045.1268992573, 996098.4198607504 178055.7407231778, 996096.5983420908 178077.4788686782, 996120.9509836733 178079.39618767798, 996122.7606913447 178057.7971495092, 996183.8927869201 178062.92148308456, 996173.1815222502 178190.77162109315, 996169.6474085897 178232.95460759103, 996313.1828826666 178244.38306242228, 996315.1005297601 178244.53857392073, 996316.9181114286 178244.62715642154, 996319.040810585 178245.13896642625, 996321.6228264272 178246.4742655903, 996323.5093055964 178248.1835797578, 996324.9331872612 178250.29315559566, 996325.8879097551 178253.03921309114, 996326.05851309 178255.9394697547, 996316.762928009 178367.95991501212, 996199.8615870029 178358.54753226042, 996198.5433481783 178373.93168783188, 996178.0614337623 178372.28634992242, 996166.5250395089 178371.36148300767, 996158.8478895128 178370.74927949905, 996159.9745276719 178357.67351825535, 996100.5835703462 178352.91335716844, 996099.4982706755 178365.98911842704, 995897.9041856676 178349.83035808802, 995911.7847353369 178181.95208492875, 995837.1792415082 178175.65682192147))","BK","LP-02664","Yes","Melrose Parkside Historic District","No","DESIGNATED","DESIGNATED",,"10/18/2022",,"12/13/2022","08/09/2022","1671.8832216849753","107249.9466987329"
"POLYGON ((1057146.0087233335 193694.8354291767, 1056961.2807463408 193232.55781042576, 1057201.1854502559 193138.46482275426, 1057385.1857384294 193602.70077092946, 1057146.0087233335 193694.8354291767))","QN","LP-02655","Yes","Cambria Heights-222nd Street Historic District","No","DESIGNATED","DESIGNATED",,"9/14/2021",,"06/28/2022","08/10/2021","1511.197288787266","128135.77728391397"
"POLYGON ((1058116.1488434225 192584.60372576118, 1058108.5271394998 192565.2248274982, 1057976.7337679267 192230.1211670041, 1057929.3368810862 192109.60795658827, 1058022.5076265037 192073.18775384128, 1058077.6115189195 192052.0362213403, 1058170.9679595083 192014.76661084592, 1058210.9705041796 192117.0085323453, 1058356.5814334303 192489.17347042263, 1058263.2246647626 192526.44340901077, 1058210.0889442563 192547.8829986751, 1058116.1488434225 192584.60372576118))","QN","LP-02656","Yes","Cambria Heights-227th Street Historic District","No","DESIGNATED","DESIGNATED",,"9/14/2021",,"06/28/2022","08/10/2021","1538.0989798211695","132133.36961520946"
"POLYGON ((997020.7752995044 173363.69827000797, 997022.4888787568 173342.7678656727, 997024.0538362563 173323.6583238393, 997025.6670220047 173303.95626351237, 997027.276598841 173284.30308759212, 997028.7483806759 173266.32608942688, 997030.5429965109 173244.4101227522, 997032.1004080921 173225.38981959224, 997033.7516515106 173205.22384941578, 997035.4248765111 173184.78917901218, 997037.075135678 173164.6360040903, 997038.6604343355 173145.27810317278, 997040.3051160872 173125.1902168393, 997042.0229604244 173104.20895959437, 997043.7125895917 173083.5741583407, 997045.1994632632 173065.41737049818, 997046.9750502557 173043.73598341644, 997048.4888267517 173025.24651908875, 997050.1354770064 173005.1359950006, 997051.6617206782 172986.49987742305, 997053.3552868366 172965.8152075112, 997055.0698503405 172944.87594492733, 997056.681067586 172925.19849084318, 997058.3595419228 172904.7021407485, 997059.9094075859 172885.76976391673, 997061.5803360045 172865.3646209985, 997063.2141910046 172845.4125611782, 997064.869699508 172825.1983627528, 997066.5248799175 172804.98318009079, 997168.5430485904 172812.94116942585, 997226.0458863378 172816.9247572571, 997325.9315133393 172824.97428183258, 997324.1500208378 172846.51131226122, 997322.4676095098 172866.85018233955, 997320.8842793405 172885.98793934286, 997319.2582983375 172905.64439608157, 997317.5696534216 172926.05511641502, 997315.9312052578 172945.86544425786, 997314.3383606672 172965.12065508962, 997312.6841645092 172985.1127410829, 997310.9367926717 173006.2406515926, 997309.3787249178 173025.07361917198, 997307.6106838435 173046.44267092645, 997306.0785346776 173064.9665840119, 997304.3688924164 173085.63977099955, 997302.7701423466 173104.96158275008, 997301.0752638429 173125.45202733576, 997299.4660150856 173144.90080733597, 997297.7793386728 173165.29118651152, 997296.2485018373 173183.7963988334, 997294.5851193368 173203.9052825123, 997293.0050700009 173223.00727842748, 997291.3193778396 173243.38551850617, 997289.6674782634 173263.35267017782, 997287.9689908475 173283.8841251731, 997286.3502276689 173303.45232750475, 997284.6520683467 173323.97984550893, 997283.0890793353 173342.87646125257, 997281.415526256 173363.1050953418, 997279.8020124286 173382.6116180122, 997179.9163854271 173374.56176534295, 997122.7937962562 173371.65625934303, 997080.5583164245 173368.36131842434, 997041.6761763394 173365.32851609588, 997020.7752995044 173363.69827000797))","BK","LP-02647","Yes","East 25th Street Historic District","No","DESIGNATED","DESIGNATED",,"9/22/2020","0","11/17/2020","08/11/2020","1640.0396047171362","145583.39268114694"
"POLYGON ((1014658.2249326706 237491.48700892925, 1014700.0040485859 237400.7936207503, 1014567.6831190139 237339.46992450953, 1014754.7080074251 236930.4733671695, 1014886.6870741695 236991.50080417097, 1014906.2539641708 236949.00876317918, 1015012.1349860132 236995.3121482581, 1014763.2985414267 237538.6440668404, 1014658.2249326706 237491.48700892925))","BX","LP-02644","Yes","Manida Street Historic District","No","DESIGNATED","DESIGNATED",,"5/12/2020",,"06/23/2020","01/21/2020","1715.9463393648934","134326.0419612223"
"POLYGON ((977466.2999728471 169167.97929926217, 977444.0188494176 169097.69335058331, 977426.6898158342 169076.2514643371, 977473.1910351664 169039.33159066737, 977428.3899436742 168982.68865934014, 977363.1919113398 168904.2744460851, 977787.3501837552 168569.70359292626, 977866.033425346 168663.94487425685, 977821.2536592633 168699.44906833768, 977866.1311941743 168756.84265433252, 977894.4109932631 168790.18871626258, 977876.4408848435 168804.45804467797, 977914.891267255 168850.4969945848, 977466.2999728471 169167.97929926217))","BK","LP-02631","Yes","Bay Ridge Parkway-Doctors' Row Historic District","No","DESIGNATED","DESIGNATED",,"5/14/2019",,"06/25/2019","03/26/2019","1804.1019461071794","151782.808552503"
