OBJECTID,Borough,Block,Lot,DESIG_ADDRESS,BBL,LM_NAME,LP_NUMBER,SITE_DESC,SITE_STATUS,LM_NAME2,DESIG_DATE,LM_TYPE,REPORT_URL,CD,Council,Latitude,Longitude,BCT2020,NTA2020,Shape_Leng,Shape_Area,Category,Neighborhood,Popularity_Tier
381,MN,859,5,1 East 29th Street,1008590005,Rectory of the Church of the Transfiguration,LP-00471,"Borough of Manhattan Tax Map Block 859, Lot 5.",Designated,also known as the Little Church around the Corner,5/25/1967,Individual Landmark,,105,2,40.7452675,-73.9862032,1007400,MN0501,253.8483479,2449.687849,Religious,Hell's Kitchen,Tier 4: Neighborhood Staple
374,MN,279,69,12 Oliver Street,1002790069,Oliver Street Baptist Church,LP-00093,"Borough of Manhattan Tax Map Block 279, Lot 69.",Designated,now Mariners' Temple,2/1/1966,Individual Landmark,,103,1,40.7129653,-73.9977239,1002700,MN0301,448.5907614,11602.15713,Religious,Upper East Side,Tier 4: Neighborhood Staple
346,MN,49,1,Broadway at Wall Street,1000490001,Trinity Church and Graveyard,LP-00048,"Borough of Manhattan Tax Map Block 49, Lot 1.",Designated,,8/16/1966,Individual Landmark,,101,1,40.7081476,-74.0120578,1001300,MN0101,1315.616966,101840.9373,Religious,Harlem,Tier 2: National Draw
342,MN,88,11,22 Barclay Street,1000880011,Saint Peter's Roman Catholic Church,LP-00078,"Borough of Manhattan Tax Map Block 88, Lot 11.",Designated,,12/21/1965,Individual Landmark,,101,1,40.7123638,-74.0095553,1002100,MN0102,459.9861585,12993.59848,Religious,Hell's Kitchen,Tier 4: Neighborhood Staple
337,MN,831,33,272 Fifth Avenue,1008310033,Marble Collegiate Church,LP-00234,"Borough of Manhattan, Tax Map Block 831, Lot 33.",Designated,,1/11/1967,Individual Landmark,,105,3,40.7456547,-73.9870945,1007600,MN0501,518.755866,16318.88751,Religious,Tribeca,Tier 4: Neighborhood Staple
326,MN,279,25,32 James Street,1002790025,Saint James Roman Catholic Church,LP-00092,"Borough of Manhattan Tax Map Block 279, Lot 25.",Designated,,1/18/1966,Individual Landmark,,103,1,40.712227,-73.9985139,1002700,MN0301,461.982168,11067.31339,Religious,Greenwich Village,Tier 4: Neighborhood Staple
268,MN,280,22,61 Henry Street,1002800022,Northern Reformed Church,LP-00094,"Borough of Manhattan Tax Map Block 280, Lot 22.",Designated,"also known as the Market Street Reformed Church, later the Sea and Land Church, now the First Chinese Presbyterian Church",1/18/1966,Individual Landmark,,103,1,40.7132122,-73.9948057,1000800,MN0301,439.8402643,12019.79624,Religious,Tribeca,Tier 4: Neighborhood Staple
236,MN,822,8,47 West 20th Street,1008220008,Church of the Holy Communion Rectory,LP-00217,"Borough of Manhattan Tax Map Block 822, Lot 8.",Designated,,4/19/1966,Individual Landmark,,105,3,40.7408985,-73.9933276,1005400,MN0501,270.8317766,2887.937622,Religious,Upper East Side,Tier 4: Neighborhood Staple
223,MN,877,89,281 Park Avenue South,1008770089,Church Missions House,LP-01044,"Borough of Manhattan Tax Map Block 877, Lot 89.",Designated,now the Protestant Welfare Agencies Building,9/11/1979,Individual Landmark,,105,2,40.7392456,-73.9867168,1006800,MN0602,315.9448419,6223.295005,Religious,Upper East Side,Tier 5: Ultra Niche / Insider Knowledge
209,MN,822,1,Sixth Avenue at West 20th Street,1008220001,Church of the Holy Communion Complex,LP-00216,"Borough of Manhattan Tax Map Block 822, Lot 1.",Designated,,4/19/1966,Individual Landmark,,105,3,40.7410303,-73.9936307,1005400,MN0501,516.6377113,14590.11437,Religious,Tribeca,Tier 4: Neighborhood Staple
